role,skills
Data Scientist,python sql machine_learning data_analysis statistics tensorflow
Machine Learning Engineer,python tensorflow deep_learning machine_learning algorithms math
Backend Developer,python sql apis java databases algorithms
Frontend Developer,javascript html css react ui_design apis
DevOps Engineer,aws docker kubernetes linux ci_cd automation
Data Analyst,sql excel data_analysis statistics python visualization
AI Engineer,python machine_learning deep_learning tensorflow algorithms math
Cloud Architect,aws docker kubernetes automation networking linux
Cybersecurity Analyst,networking linux encryption security_protocols python risk_analysis
Full Stack Developer,python javascript html css sql apis react
